project_number,donor_name,agency_name,recipient_name,year,usd_commitment,usd_disbursement,project_title,short_description,long_description
108549,Canada,International Development Research Centre,Ethiopia,2017,0.17975,0.0369746,Statistical Alliance for Vital Events: Strengthening Reporting & Program Uses of Facility-based Child & Maternal Mortality in Ethiopia and Mozambique,STATISTICAL ALLIANCE FOR VITAL EVENTS: STRENGTHENING REPORTING & PROGRAM USES OF FACILITY-BASED CHILD & MATERNAL MORTALITY IN ETHIOPIA AND MOZAMBIQUE,"Most deaths in sub-Saharan Africa occur without medical attention and hence the Cause of Death (COD) remain unknown.  This lack of information greatly limits evidence-based planning and slows progress in the attainment of health targets including those related to maternal and child health. To address this, the World Health Organization (WHO) recommends the enhancement of both community and facility-based reporting of COD. The WHO also emphasizes the crucial need of integrating COD data within Health Information Management Systems (HMIS) and Civil Registration and Vital Statistics (CRVS) systems, and ensuring that these data are used by health ministries and disease control programs. The researchers aim to address the priority of improving facility-based reporting of COD data in Ethiopia and Mozambique by training doctors and hospital administrators on the use of simple electronic systems for capturing COD reliably, and promoting the use of these data to improve better policies and programs for  maternal and child health. By complementing their efforts to strengthen community-based reporting of CODs in their ongoing IMCHA project, they will demonstrate the feasibility of implementing the WHO recommendations on the generation and use of comprehensive, high quality COD data in health policy and program development. The team is building on an established partnership between the Statistical Alliance for Vital Events (St. Michaels Hospital, Canada), The Ethiopia Public health Association, the Centro de InvestigaÁ„o em Sa˙de de ManhiÁa (Mozambique), and St. John's Research Institute (India). The project is closely aligned with the Government of Canada's prioritization of civil registration and vital statistics systems as a valuable public investment for safeguarding the rights of women and children, improving policy development and program delivery for maternal and child health, and strengthening accountability. The researchers will leverage opportunities for continued engagement with the Centre of Excellence for CRVS Systems housed at IDRC."
108271,Canada,International Development Research Centre,"South Asia, regional",2017,0.00168516,0.000406979,"Centre of Excellence for CRVS systems activity budget line: Contributing to global and regional level evidence, capacity, and exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: CONTRIBUTING TO GLOBAL AND REGIONAL LEVEL EVIDENCE, CAPACITY, AND EXCHANGE","Systematic registration of vital and civil events, such as birth, death, causes of death, marriage and divorce, is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. However, such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, tools, and promising practices exist, they are not readily accessible and useable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration of Vital Statistics (CRVS) Systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information, including by developing an open-access electronic platform to make key resources readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for Global Financing Facility financing. This project will allow the Centre of Excellence to organize workshops, capacity-building events, seminars, conferences, and roundtables that bring together global and regional experts and stakeholders with a view to advancing the development and implementation of CRVS systems. It will support the organization of events (e.g. venues, logistics, etc.), participant attendance (e.g. airfare, accommodation, per diems, and incidentals for practitioners, experts, and institutions) from countries that are developing investment cases for Global Financing Facility financing, as well as from regional and/or global organizations where appropriate. Activities will serve to improve coordination and cooperation among global, regional, and country-level stakeholders, in addition to facilitating knowledge-sharing and best practices within and across regions."
20161110303,Korea,Ministry of Strategy and Finance,"Asia, regional",2017,0,0.066042,(2016-17 KSP-WB Joint Consulting) Strengthening Civil Registration and Vital Statistics The Second Phase,(2016-17 KSP-WB JOINT CONSULTING) STRENGTHENING CIVIL REGISTRATION AND VITAL STATISTICS THE SECOND PHASE,Strengthening Civil Registration and Vital Statistics The Second Phase
1410/A0/06/005/003,UNICEF,UNICEF,Ethiopia,2017,1.067,1.067,003 BIRTH REGISTRATION,003 BIRTH REGISTRATION,
6890/A0/05/402/007,UNICEF,UNICEF,Mozambique,2017,0.141,0.141,BIRTH REGISTRATION,BIRTH REGISTRATION,
3210/A0/05/008/004,UNICEF,UNICEF,Nigeria,2017,0.764,0.764,38 BIRTH REGISTRATION,38 BIRTH REGISTRATION,
3900/A0/07/886/006,UNICEF,UNICEF,Sierra Leone,2017,0.093,0.093,6.6 BIRTH REGISTRATION,6.6 BIRTH REGISTRATION,
3180/A0/06/886/004,UNICEF,UNICEF,Niger,2017,0.612,0.612,6.4 CIVIL REGISTRATION SERVICES,6.4 CIVIL REGISTRATION SERVICES,
108245,Canada,International Development Research Centre,"South of Sahara, regional",2017,0.00236422,0.000895231,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"South Asia, regional",2017,0.000288884,0.000220938,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2017,0.00144442,0.00110492,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108269,Canada,International Development Research Centre,"Bilateral, unspecified",2017,0,0.00212426,Centre of Excellence for CRVS Systems Activity Budget Line: Building a Knowledge Base and Contributing to Global Tools and Standards,CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: BUILDING A KNOWLEDGE BASE AND CONTRIBUTING TO GLOBAL TOOLS AND STANDARDS,"Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. However, such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Although global norms, standards, tools, and promising practices exist, they are not readily accessible to, and useable by, those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information by developing an open-access, electronic platform to make key resources readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility. This project will allow the Centre of Excellence to build a knowledge base by mapping and consolidating existing (yet scattered) evidence, as well as developing state-of-the art tools, resources, and synthesis products on CRVS systems for use by countries and other CRVS stakeholders. This includes commissioning case studies to document the various processes that countries are undertaking to develop and integrate CRVS systems components into investment cases. The Centre of Excellence will also actively collect and synthesize lessons and good practices to strengthen CRVS systems."
108271,Canada,International Development Research Centre,"South of Sahara, regional",2017,0.00674062,0.00162776,"Centre of Excellence for CRVS systems activity budget line: Contributing to global and regional level evidence, capacity, and exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: CONTRIBUTING TO GLOBAL AND REGIONAL LEVEL EVIDENCE, CAPACITY, AND EXCHANGE","Systematic registration of vital and civil events, such as birth, death, causes of death, marriage and divorce, is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. However, such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, tools, and promising practices exist, they are not readily accessible and useable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration of Vital Statistics (CRVS) Systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information, including by developing an open-access electronic platform to make key resources readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for Global Financing Facility financing. This project will allow the Centre of Excellence to organize workshops, capacity-building events, seminars, conferences, and roundtables that bring together global and regional experts and stakeholders with a view to advancing the development and implementation of CRVS systems. It will support the organization of events (e.g. venues, logistics, etc.), participant attendance (e.g. airfare, accommodation, per diems, and incidentals for practitioners, experts, and institutions) from countries that are developing investment cases for Global Financing Facility financing, as well as from regional and/or global organizations where appropriate. Activities will serve to improve coordination and cooperation among global, regional, and country-level stakeholders, in addition to facilitating knowledge-sharing and best practices within and across regions."
108271,Canada,International Development Research Centre,"Africa, regional",2017,0.0192203,0.0192203,"Centre of Excellence for CRVS systems activity budget line: Contributing to global and regional level evidence, capacity, and exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: CONTRIBUTING TO GLOBAL AND REGIONAL LEVEL EVIDENCE, CAPACITY, AND EXCHANGE","Systematic registration of vital and civil events, such as birth, death, causes of death, marriage and divorce, is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. However, such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, tools, and promising practices exist, they are not readily accessible and useable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration of Vital Statistics (CRVS) Systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information, including by developing an open-access electronic platform to make key resources readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for Global Financing Facility financing. This project will allow the Centre of Excellence to organize workshops, capacity-building events, seminars, conferences, and roundtables that bring together global and regional experts and stakeholders with a view to advancing the development and implementation of CRVS systems. It will support the organization of events (e.g. venues, logistics, etc.), participant attendance (e.g. airfare, accommodation, per diems, and incidentals for practitioners, experts, and institutions) from countries that are developing investment cases for Global Financing Facility financing, as well as from regional and/or global organizations where appropriate. Activities will serve to improve coordination and cooperation among global, regional, and country-level stakeholders, in addition to facilitating knowledge-sharing and best practices within and across regions."
108245,Canada,International Development Research Centre,"South of Sahara, regional",2017,0.00308143,0.00248871,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"South of Sahara, regional",2017,0.00211848,0.00171089,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"South Asia, regional",2017,0.000770357,0.00062214,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2017,0.0026481,0.00213859,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108245,Canada,International Development Research Centre,"Bilateral, unspecified",2017,0.00295532,0.00111894,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108268,Canada,International Development Research Centre,"Bilateral, unspecified",2017,0,0.000163932,Centre of Excellence for CRVS systems activity budget line: Outreach and engagement,CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: OUTREACH AND ENGAGEMENT,"Systematic registration of vital and civil events, including birth, death, causes of death, marriage, and divorce is critical for improving maternal, newborn, child, and adolescent health. When integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. Such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, and tools exist, they are not readily accessible and useable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information, including by developing an open-access electronic platform so that key resources will be readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the 'Every Woman Every Child' initiative to enable the development and implementation of CRVS systems plans as part of country-led Investment cases for Global Financing Facility financing. This project enables the Centre of Excellence to organize and/or participate in meetings and events that encourage targeted and continuous engagement with relevant global, regional, and country-level stakeholders. This will contribute to the development and evolution of the Centre of Excellence, and mobilize the community of practice to deliver key priorities that inform and advance CRVS globally. Stakeholder engagement and regular coordination will ensure that activities of the Centre of Excellence do not duplicate the work of existing entities, but rather build on what exists, support ongoing initiatives, and add value to efforts aimed at strengthening CRVS systems in countries eligible for Global Financing Facility financing. The project will also facilitate multi-sectoral engagement and build momentum to ensure that CRVS systems are foundational to health information systems."
108272,Canada,International Development Research Centre,"Bilateral, unspecified",2017,0,0.0032697,"Centre of Excellence for CRVS Systems Activity Budget Line: Strengthening Country Level Evidence, Capacity and Exchange","CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: STRENGTHENING COUNTRY LEVEL EVIDENCE, CAPACITY AND EXCHANGE","Systematic registration of vital and civil events - including birth, death, causes of death, marriage, and divorce - is critical for improving maternal, newborn, child, and adolescent health. Integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. However, such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, tools, and promising practices exist, they are not readily accessible and usable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate and disseminate information, including by developing an open-access, electronic platform to make key resources readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support. This project will allow the Centre of Excellence to support countries in accessing the technical expertise they need to develop and implement effective CRVS systems. This includes developing and maintaining a roster of experts for the Centre of Excellence and CRVS stakeholders at the country level to draw on as appropriate. The project will also allow the Centre of Excellence to contract expert advice and accompaniment, convene and/or participate in stakeholder meetings, as well as undertake CRVS systems gap analysis and priority setting analysis. In addition to facilitating access to technical expertise, the RSP will enable specific training for country representatives working to develop and/or implement their CRVS systems plans and it will structure peer learning opportunities to address specific gaps at the country level. The Centre of Excellence will also support locally based institutions in countries eligible for financing from the Global Financing Facility to ensure in-country CRVS systems expertise for sustainability."
108245,Canada,International Development Research Centre,"South of Sahara, regional",2017,0.00231107,0.00209175,Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems,CENTRE OF EXCELLENCE FOR CIVIL REGISTRATION AND VITAL STATISTICS (CRVS) SYSTEMS,"Registration of events, such as birth, death, causes of death, marriage, and divorce, is critical for improving maternal, newborn, child, and adolescent health. These statistics provide policymakers and practitioners with the necessary evidence to design interventions and enact appropriate policies on maternal and child health. Many low- and middle-income countries, however, do not systematically collect such crucial information. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. In many cases, global norms, standards, tools, and good practices are not readily accessible and useable to those who need them most.The project will establish the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) Systems to provide information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. Funded by Global Affairs Canada and the International Development Research Centre (IDRC), and based at IDRC, the Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and share information and resources in an open and collaborative electronic platform. It will also assist countries needing more direct support by facilitating the exchange of good practices and capacity strengthening, and will play an important role brokering technical assistance for countries needing more direct support.The Centre of Excellence will work closely with the Global Financing Facility in support of the Every Woman Every Child initiative to enable the development and implementation of CRVS systems plans as part of country-led investment cases for financing by the Global Financing Facility."
108268,Canada,International Development Research Centre,"South Asia, regional",2017,0,3.28172e-05,Centre of Excellence for CRVS systems activity budget line: Outreach and engagement,CENTRE OF EXCELLENCE FOR CRVS SYSTEMS ACTIVITY BUDGET LINE: OUTREACH AND ENGAGEMENT,"Systematic registration of vital and civil events, including birth, death, causes of death, marriage, and divorce is critical for improving maternal, newborn, child, and adolescent health. When integrated into existing health information systems, these statistics become valuable evidence, giving policymakers and practitioners the knowledge they need to review the circumstances leading to each maternal and child death, identify preventable factors, and take action where needed. Such crucial information systems are lacking in many countries. It is estimated that one-third of the world's births and two-thirds of the world's deaths are not registered or are incorrectly certified. Where global norms, standards, and tools exist, they are not readily accessible and useable to those who need them most. Funded by Global Affairs Canada and IDRC, and housed at IDRC, the Centre of Excellence for Civil Registration and Vital Statistics (CRVS) systems will link knowledge seekers with information, tools, and expertise to facilitate the development and implementation of integrated CRVS systems. The Centre of Excellence will coordinate with existing expert groups to generate, consolidate, and disseminate information, including by developing an open-access electronic platform so that key resources will be readily accessible. It will facilitate exchange of good practices and capacity strengthening, and will play an important role in brokering technical assistance for countries needing more direct support. The Centre of Excellence will work closely with the Global Financing Facility in support of the 'Every Woman Every Child' initiative to enable the development and implementation of CRVS systems plans as part of country-led Investment cases for Global Financing Facility financing. This project enables the Centre of Excellence to organize and/or participate in meetings and events that encourage targeted and continuous engagement with relevant global, regional, and country-level stakeholders. This will contribute to the development and evolution of the Centre of Excellence, and mobilize the community of practice to deliver key priorities that inform and advance CRVS globally. Stakeholder engagement and regular coordination will ensure that activities of the Centre of Excellence do not duplicate the work of existing entities, but rather build on what exists, support ongoing initiatives, and add value to efforts aimed at strengthening CRVS systems in countries eligible for Global Financing Facility financing. The project will also facilitate multi-sectoral engagement and build momentum to ensure that CRVS systems are foundational to health information systems."
